vertex,c3_baseline_x,c3_baseline_y,c3_baseline_z,c3_deformed_x,c3_deformed_y,c3_deformed_z,c5_deformed_x,c5_deformed_y,c5_deformed_z,c3_c5_error
196,0.51799515,0.23635635,0.48939863,0.51496165,0.29115808,0.34712745,0.51496165,0.29115808,0.34712745,0.0
197,0.55426615,0.29980838,0.52907022,0.55785161,0.34264987,0.38081827,0.55785161,0.34264987,0.38081827,0.0
198,0.57385955,0.45989076,0.4637163,0.57717272,0.47204879,0.32990619,0.57717272,0.47204879,0.32990619,0.0
199,0.57782921,0.5370131,0.43967285,0.58087926,0.53465705,0.31057868,0.58087926,0.53465705,0.31057868,0.0
200,0.55880568,0.23013749,0.53135032,0.56233603,0.28557281,0.38404484,0.56233603,0.28557281,0.38404484,0.0
201,0.6307915,0.22211013,0.5794954,0.64442829,0.27773513,0.42906154,0.64442829,0.27773513,0.42906154,0.0
202,0.51640435,0.598415,0.34120795,0.50799549,0.58509911,0.2268643,0.50799549,0.58509911,0.2268643,0.0
203,0.51840658,0.37231556,0.16596675,0.49791773,0.39743545,0.09428902,0.49791773,0.39743545,0.09428902,0.0
204,0.5271135,0.607988,0.38440625,0.52240507,0.59328667,0.26137362,0.52240507,0.59328667,0.26137362,0.0
205,0.56714389,0.63139974,0.44409771,0.57023489,0.61222932,0.31155983,0.57023489,0.61222932,0.31155983,0.0
206,0.50898476,0.33836942,0.17783372,0.48790184,0.37011205,0.10298828,0.48790184,0.37011205,0.10298828,0.0
207,0.72579009,0.35605125,-0.00426626,0.71662745,0.37574821,-0.01588871,0.71662745,0.37574821,-0.01588871,0.0
208,0.74991026,0.35249257,0.00671062,0.74384961,0.37233115,-0.00479105,0.74384961,0.37233115,-0.00479105,0.0
209,0.73933711,0.33680092,-0.0009479,0.73159009,0.35966784,-0.01162074,0.73159009,0.35966784,-0.01162074,0.0
210,0.71237937,0.32917596,-0.01121085,0.70117317,0.35402301,-0.02230125,0.70117317,0.35402301,-0.02230125,0.0
211,0.68049074,0.33554904,-0.00882674,0.6661837,0.36016383,-0.02387795,0.6661837,0.36016383,-0.02387795,0.0
212,0.68954421,0.34941108,-0.00522247,0.67651284,0.3713094,-0.0203294,0.67651284,0.3713094,-0.0203294,0.0
213,0.69366955,0.33171934,-0.01238228,0.68048284,0.35660817,-0.02520463,0.68048284,0.35660817,-0.02520463,0.0
214,0.70840185,0.35444846,-0.00789784,0.69721322,0.37486558,-0.02050505,0.69721322,0.37486558,-0.02050505,0.0
215,0.80420909,0.59095604,-0.03424872,0.80362761,0.56538084,-0.03424683,0.80362761,0.56538084,-0.03424683,0.0
216,0.82870542,0.4620892,-0.06421492,0.82773934,0.458777,-0.05318602,0.82773934,0.458777,-0.05318602,0.0
217,0.81448041,0.50279526,-0.03548165,0.81407625,0.49291947,-0.03291701,0.81407625,0.49291947,-0.03291701,0.0
218,0.82210111,0.39462269,-0.022722,0.82220879,0.40436022,-0.02068806,0.82220879,0.40436022,-0.02068806,0.0
219,0.80519431,0.03025242,0.14222821,0.80966267,0.10926905,0.11072576,0.80966267,0.10926905,0.11072576,0.0
