vertex,baseline_x,baseline_y,baseline_z,deformed_x,deformed_y,deformed_z,dx,dy,dz,displacement_norm
87,0.63014331,0.30369172,0.0077029,0.61129839,0.33575628,-0.0158653,-0.0188449147844878,0.032064559978321694,-0.023568196025105126,0.04403097413998215
88,0.71590312,0.38294733,-0.00952342,0.70566263,0.39795373,-0.02138874,-0.010240485461538773,0.015006397148385697,-0.011865324414593426,0.02169897281731585
89,0.74725806,0.37951126,-0.00332423,0.74059212,0.3943638,-0.01324542,-0.006665941865567349,0.014852546332475403,-0.009921185832577395,0.019064701462073473
90,0.80299518,0.45991167,-0.06380638,0.79936173,0.45771354,-0.05553143,-0.0036334419320207534,-0.0021981361900003105,0.008274950795676028,0.009300995304483016
91,0.80455242,0.43377785,-0.04891932,0.80169598,0.43650241,-0.04343403,-0.0028564429102876376,0.002724561868349129,0.005485288142698885,0.006758024081240581
92,0.80172299,0.47955224,-0.06044729,0.79833472,0.47387505,-0.05332969,-0.0033882716468377483,-0.005677196316931088,0.007117594446839293,0.009714478549228365
93,0.80400977,0.48807277,-0.05173737,0.80144206,0.48091604,-0.04644155,-0.0025677153569796385,-0.007156737054778262,0.005295814386604203,0.0092659428793334
94,0.7864915,0.47723125,-0.0550397,0.78181268,0.47247854,-0.05069147,-0.0046788167565507965,-0.00475270785297216,0.004348236772544811,0.007961577808901617
95,0.78943797,0.47989027,-0.04734446,0.78553506,0.47468849,-0.04444177,-0.0039029130012567803,-0.005201785040956697,0.0029026952253060623,0.007121582484161416
96,0.76787022,0.47886012,-0.03818674,0.76224857,0.47458044,-0.03957156,-0.005621651998818811,-0.0042796802515002175,-0.0013848223440370844,0.00719974771609734
97,0.77798966,0.48197178,-0.03319928,0.77373577,0.47692149,-0.034681,-0.004253888185063226,-0.0050502932857889316,-0.0014817205807547418,0.006767312822896355
98,0.75767382,0.48502333,-0.0269348,0.75170301,0.48007623,-0.03198458,-0.00597080440587483,-0.004947096971970821,-0.00504978367245329,0.009253355544983289
99,0.77499914,0.49450423,-0.02963901,0.77075661,0.48731563,-0.03240173,-0.004242522510545799,-0.007188600904334874,-0.002762724969905206,0.008792475730625006
100,0.79066538,0.5218917,-0.04131008,0.78762472,0.509124,-0.0402006,-0.003040659731353479,-0.01276770428115459,0.0011094779291416779,0.013171591608007757
101,0.79570069,0.50401521,-0.03602964,0.79332516,0.4944309,-0.03532751,-0.002375526943596773,-0.009584312699632669,0.0007021336090594632,0.009899250971112166
102,0.81947242,0.49572529,-0.04752162,0.8188259,0.48681382,-0.04165136,-0.000646519947592239,-0.008911473525645253,0.005870262559828199,0.010690759138724977
103,0.79852744,0.49014638,-0.03969262,0.79610608,0.4829457,-0.03768697,-0.002421353736832721,-0.007200677256252175,0.002005650905670897,0.007857184128108468
104,0.77780163,0.45915559,-0.05034459,0.77232368,0.45799477,-0.0477002,-0.00547795011766361,-0.0011608171130480516,0.0026443940244519903,0.006192596678140226
105,0.78086746,0.43944002,-0.0378348,0.77624747,0.4419602,-0.03738356,-0.004619992035977738,0.0025201781457102612,0.0004512467859360547,0.005281973869722469
106,0.76256369,0.46345522,-0.03604445,0.75637231,0.46215095,-0.03824687,-0.006191379933309649,-0.001304268590384683,-0.0022024242775913194,0.006699624969576811
107,0.72702809,0.68473772,0.01098211,0.72197219,0.64494102,-0.0085669,-0.005055895735118998,-0.039796691764783954,-0.019549016770025185,0.044626256999443094
108,0.69807785,0.68596278,0.04956032,0.69227899,0.6473179,0.01832289,-0.005798857169633909,-0.03864487633671243,-0.031237427184106215,0.050028292681601166
109,0.68093434,0.66919214,0.03508997,0.67236058,0.63385313,0.00553074,-0.008573757143894745,-0.03533900850871685,-0.02955923081923381,0.046862596605036624
110,0.70601707,0.67716688,0.01663966,0.69904284,0.63941082,-0.00627246,-0.006974229920345132,-0.037756060792853985,-0.022912116573739344,0.044711576749921766
111,0.74588186,0.69044358,0.01110164,0.74283955,0.64909046,-0.00657603,-0.0030423125878631385,-0.04135312661163426,-0.017677673122375004,0.04507590124957751
112,0.72763336,0.69848365,0.05880933,0.72554939,0.65688314,0.02842625,-0.0020839700943962036,-0.04160051422488853,-0.03038308065188494,0.051556544735158846
113,0.67442882,0.64502159,0.01849011,0.66398546,0.61400564,-0.00769384,-0.010443359942200359,-0.031015943153227643,-0.026183951460314048,0.04191243026409571
114,0.70293188,0.65107391,0.00184742,0.69452802,0.61792227,-0.01770873,-0.008403855063975674,-0.0331516449990078,-0.01955615161695523,0.039396692908693354
115,0.732609,0.65167019,-0.01041873,0.72657096,0.6174067,-0.02412483,-0.0060380364611875015,-0.034263485069037425,-0.013706106221117897,0.037393871705499376
116,0.76275872,0.65564039,-0.01512568,0.75960841,0.61975147,-0.02466972,-0.0031503147777038887,-0.03588891041775688,-0.009544047344449691,0.037269655403363945
117,0.69201477,0.53150786,-0.01957085,0.68009831,0.52005186,-0.03379066,-0.01191645991281065,-0.011455992826514327,-0.014219812161250123,0.021804697805656647
118,0.71256236,0.49389815,-0.02244279,0.70225741,0.48865775,-0.03334123,-0.010304950231202703,-0.005240407321744134,-0.010898432400393565,0.01588803628367277
119,0.73132047,0.51439726,-0.02877811,0.7227812,0.50482107,-0.03658362,-0.008539264905002897,-0.009576186526497277,-0.0078055160730932105,0.015018271361092081
120,0.60977524,0.62163083,0.08029007,0.59602509,0.59757543,0.03382987,-0.013750144726348168,-0.024055394961990717,-0.04646019877342206,0.05409508828755876
121,0.6592177,0.49431562,-0.00964598,0.64414001,0.49067065,-0.02899669,-0.015077688859014948,-0.003644973158356657,-0.019350717991261757,0.02480066163294329
122,0.63148294,0.55594972,0.02311926,0.61602503,0.54236943,-0.00734005,-0.015457913334971263,-0.013580286973656985,-0.030459305748884502,0.03675786426960071
123,0.69147698,0.43721863,-0.01885404,0.67867127,0.44290771,-0.03196202,-0.012805709780187913,0.005689081158544884,-0.013107975778516967,0.019187779350750785
124,0.64088426,0.42737998,-0.01066115,0.62323196,0.43638568,-0.03075605,-0.017652296236720155,0.009005699489690822,-0.02009489631286221,0.02822252723538814
125,0.59744474,0.37956084,0.02815373,0.57712287,0.3990563,-0.00449016,-0.020321872677162567,0.019495465972617088,-0.032643883122224604,0.04311235099010187
126,0.5876924,0.32651104,0.05207243,0.56726621,0.35629048,0.01380609,-0.020426188320453398,0.029779435228167617,-0.038266337676674866,0.052615173961477725
127,0.56010217,0.56623041,0.12639712,0.54339516,0.55431182,0.06519945,-0.016707015387623647,-0.011918581886270263,-0.0611976765523303,0.06454713450452824
128,0.59081618,0.52588636,0.05830507,0.57293065,0.5194252,0.01614061,-0.017885531545975275,-0.006461166135139473,-0.04216446718237499,0.04625452625723808
129,0.6125427,0.47079904,0.01467915,0.59384133,0.47308809,-0.01466579,-0.01870136616749274,0.002289044667355744,-0.029344936426199675,0.0348727130558764
130,0.56894339,0.4309336,0.0713924,0.54868247,0.44254019,0.0253592,-0.02026091201975755,0.011606593954264333,-0.04603320856631013,0.05161660459581713
131,0.55389793,0.46992268,0.1060227,0.53447068,0.47538197,0.05010785,-0.01942724322091416,0.005459295827259458,-0.055914847464401396,0.059444864009108166
132,0.75878917,0.45385534,-0.02416004,0.75280505,0.45457646,-0.02927562,-0.005984126870826945,0.0007211196162988376,-0.005115577430333085,0.007905625867247785
133,0.76516882,0.51645513,-0.03747393,0.75965387,0.50543785,-0.03981904,-0.005514951451151329,-0.011017282752689539,-0.002345107363229182,0.012541719870350248
134,0.57601479,0.26310885,0.09680736,0.55640508,0.3054372,0.04819403,-0.01960971310731896,0.04232835591744516,-0.04861332976772781,0.06737571071188135
135,0.60974596,0.22944773,0.0539061,0.59080092,0.27630168,0.01890359,-0.018945038691224658,0.04685394799515752,-0.03500251152405562,0.06147668457827383
136,0.55279084,0.36864742,0.10560836,0.53228491,0.39255493,0.05110519,-0.020505932833589924,0.02390751388574225,-0.05450316355877788,0.06294964129752888
137,0.80038118,0.39025068,-0.02205168,0.79823513,0.40139489,-0.02238227,-0.002146049305673081,0.011144207698086606,-0.0003305812853049983,0.011353773682202169
138,0.78039091,0.39794944,-0.01620756,0.77658384,0.40833908,-0.02004618,-0.003807075474490107,0.01038964431023337,-0.003838620020548633,0.011712110664768563
139,0.75649318,0.40916385,-0.01228419,0.75054177,0.41824032,-0.01965937,-0.005951414910978392,0.009076468084628975,-0.007375183225814208,0.013122306959838868
140,0.54468897,0.31612743,0.13462148,0.52455239,0.3502618,0.07351194,-0.020136580691391237,0.0341343660963655,-0.06110954535029514,0.0728355226772033
141,0.78148852,0.20499158,-0.0166015,0.77595561,0.25041524,-0.01749655,-0.00553291471892281,0.04542365759295042,-0.0008950488052091865,0.04576814314315342
142,0.71525085,0.19836055,-0.01057891,0.70315704,0.24693273,-0.01966407,-0.012093809997093308,0.048572181338973675,-0.009085158026668982,0.05087295093309886
143,0.66201268,0.20903725,0.01162179,0.64580955,0.25749495,-0.00815583,-0.016203127323164868,0.04845769350980239,-0.019777620678122,0.054789083538861236
144,0.65095506,0.80216896,0.18636351,0.64933344,0.74574027,0.11791465,-0.0016216177901401396,-0.05642868595285744,-0.06844886130596597,0.08872470262957705
145,0.68117288,0.73392534,0.1635865,0.6807043,0.68872578,0.10437478,-0.00046858863007737117,-0.04519955829927058,-0.0592117180449899,0.0744932694918996
146,0.5888542,0.77624797,0.19869411,0.5812916,0.72643502,0.12133683,-0.007562602491820614,-0.0498129468890004,-0.07735727184575505,0.09231830881051555
147,0.62692374,0.70622115,0.17197982,0.62107805,0.6676849,0.10559069,-0.005845692239091038,-0.038536258989462446,-0.06638913522917461,0.07698527554756641
148,0.54107788,0.74043703,0.22810725,0.52995824,0.69889757,0.13966335,-0.01111964129480525,-0.04153946966972566,-0.08844389804367606,0.09834376982873577
149,0.5740068,0.66719897,0.19916076,0.56391365,0.63762876,0.12169174,-0.010093151207595241,-0.029570210829711452,-0.07746902867761171,0.08353274492117202
150,0.51240682,0.6886608,0.27084381,0.50033323,0.65797385,0.17056055,-0.012073585045616952,-0.030686942603332934,-0.10028326330762627,0.1055660589480383
151,0.5333739,0.62267241,0.24287135,0.52122017,0.60298455,0.15198803,-0.012153738228925959,-0.019687856055849773,-0.09088331915061354,0.09378220902092994
152,0.61540909,0.65376202,0.13880779,0.60595005,0.62458502,0.07938223,-0.009459046194959297,-0.029177004728062172,-0.05942555279635506,0.06687426623875674
153,0.65965462,0.68231189,0.12283055,0.6541079,0.64648343,0.07121549,-0.005546718160030384,-0.0358284625222588,-0.0516150619481206,0.0630758228560202
154,0.70200883,0.70215831,0.12704495,0.70127165,0.66161249,0.07864929,-0.0007371811333716227,-0.0405458121465152,-0.04839566739360604,0.06313989975535629
155,0.55926544,0.59137219,0.18070642,0.54587019,0.57572087,0.10690399,-0.013395245410337653,-0.0156513199687649,-0.07380243451919685,0.07662372842225944
156,0.52147746,0.471512,0.16941371,0.50242642,0.47854469,0.09588269,-0.019051040283771026,0.007032693447776461,-0.07353101787830449,0.0762837564835647
157,0.51987806,0.56463337,0.27711123,0.5077877,0.55639769,0.17796737,-0.012090364683689625,-0.008235682304687075,-0.09914385349656998,0.10021729924198555
158,0.53878614,0.54077323,0.20759288,0.52437826,0.53529938,0.12634229,-0.014407885645559282,-0.005473842660189132,-0.08125059183259373,0.0826995090395993
